EmployeeID,Department,Action,ResourceID,Datetime,Result
10123,Finance,access,File9,2016-01-23 15:31:00,failed
10123,Finance,access,Folder2,2016-01-23 15:31:00,failed
10123,Finance,access,Folder3,2016-01-23 15:31:00,failed
10123,Finance,access,File5,2016-01-23 15:31:00,failed
10123,Finance,access,Folder4,2016-01-23 15:31:00,failed
10183,HR,access,File20,2016-03-15 13:24:00,failed
10183,HR,access,File19,2016-03-15 13:24:00,failed
10183,HR,access,File18,2016-03-15 13:24:00,failed
10183,HR,access,File17,2016-03-15 13:24:00,failed
10183,HR,access,File16,2016-03-15 13:24:00,failed
10183,HR,access,File13,2016-03-15 13:24:00,failed
10183,HR,access,File14,2016-03-15 13:24:00,failed
10183,HR,access,File12,2016-03-15 13:24:00,failed
10183,HR,access,File21,2016-03-15 13:24:00,failed
10183,HR,access,File11,2016-03-15 13:24:00,failed
10183,HR,access,File15,2016-03-15 13:24:00,failed
10183,HR,access,File22,2016-03-15 13:24:00,failed
10183,HR,access,File27,2016-03-15 13:24:00,failed
10183,HR,print,Printer3,2016-03-15 13:24:00,failed
10183,HR,access,Folder9,2016-03-15 13:24:00,failed
10183,HR,access,Folder8,2016-03-15 13:24:00,failed
10183,HR,access,Folder7,2016-03-15 13:24:00,failed
10183,HR,access,Folder6,2016-03-15 13:24:00,failed
10183,HR,access,Folder5,2016-03-15 13:24:00,failed
10183,HR,access,File29,2016-03-15 13:24:00,failed
10183,HR,access,File28,2016-03-15 13:24:00,failed
10183,HR,access,File24,2016-03-15 13:24:00,failed
10183,HR,access,File26,2016-03-15 13:24:00,failed
10183,HR,access,File25,2016-03-15 13:24:00,failed
10183,HR,access,File10,2016-03-15 13:24:00,failed
10183,HR,access,File23,2016-03-15 13:24:00,failed
10183,HR,access,Server14,2016-03-15 13:24:00,failed
10183,HR,print,Printer5,2016-03-15 13:24:00,failed
10183,HR,access,Server12,2016-03-15 13:24:00,failed
10183,HR,access,Server11,2016-03-15 13:24:00,failed
10183,HR,access,Server10,2016-03-15 13:24:00,failed
10183,HR,access,Server9,2016-03-15 13:24:00,failed
10183,HR,access,Server8,2016-03-15 13:24:00,failed
10183,HR,access,Server7,2016-03-15 13:24:00,failed
10183,HR,access,Server6,2016-03-15 13:24:00,failed
10183,HR,access,Server5,2016-03-15 13:24:00,failed
10183,HR,print,Printer4,2016-03-15 13:24:00,failed
10183,HR,access,Server13,2016-03-15 13:24:00,failed
10100,IT,access,File3,2016-01-28 16:43:00,failed
10100,IT,access,File2,2016-01-28 16:43:00,failed
10100,IT,access,Server1,2016-01-28 16:43:00,failed
10100,IT,access,File0,2016-01-28 16:43:00,failed
10100,IT,access,Server2,2016-01-28 16:43:00,failed
10100,IT,access,File4,2016-01-28 16:43:00,failed
10100,IT,access,File1,2016-01-28 16:43:00,failed
10100,IT,access,Folder0,2016-01-28 16:43:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10100,IT,print,Printer0,2016-01-28 16:43:00,failed
10100,IT,print,Printer1,2016-01-28 16:43:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10173,IT,login,AuthServer,2016-05-27 12:28:00,failed
10100,IT,access,Folder1,2016-01-28 16:43:00,failed
10100,IT,access,Server0,2016-01-28 16:43:00,failed
